Scenario,Parameter,Mean,Std,Median,Lower_68,Upper_68,N_params
GS1,$a_0$,6.32662099257795,0.010779188732764943,6.32947657367373,6.313322337511926,6.335031926818859,11
GS1,$a_1$,0.42330278315201664,0.007509368041725386,0.4239236398385107,0.41863348710715653,0.4283660814396654,11
GS1,$a_2$,0.26490377080188754,0.011107664563688875,0.2640556010830185,0.2589865773258781,0.2703361498020803,11
GS1,$a_3$,0.0468660179706334,0.01199395915967908,0.046953699596374104,0.04035982737967469,0.05283536832926794,11
GS1,$T_{\mathrm{nd}}$,14.967325151095334,0.026025971202331393,14.961118742522565,14.945229864480407,14.999945225719054,11
GS1,$c_0$,12.522693928507609,0.06584690571648837,12.521052871927708,12.456596273996384,12.587081228907262,11
GS1,$c_1$,0.5570905274433516,0.07223293110928279,0.5576885008828791,0.4848758503335515,0.6293823703598049,11
GS1,$c_2$,0.4086856777381692,0.10737864183619453,0.4102422708194662,0.29828568787353027,0.5199370777244798,11
GS1,$c_3$,0.6455035019024311,0.13237464471868582,0.6399715119668519,0.5177700817482221,0.781574097941714,11
GS1,$\log_{10} f_0$,-4.595872607172117,0.7521287147519377,-4.588551296644653,-5.444166673036115,-3.880058223858927,11
GS1,$\alpha$,2.5174180363677756,0.6822215383605453,2.418313777506769,1.8154102770697151,3.2699539366392543,11
GS5,$a_0$,6.342886383813325,0.02321812935168739,6.3355497327936945,6.321469775796856,6.37651280567199,11
GS5,$a_1$,0.42371432205912957,0.007867967176630521,0.4238827829914632,0.4199180415528877,0.4288084205670796,11
GS5,$a_2$,0.26541939511416507,0.010949505143026669,0.2643542333037462,0.2587666668237523,0.27114309455769237,11
GS5,$a_3$,0.04702652022164766,0.013737787579542445,0.04649755500129886,0.03832629113577835,0.053113272476366505,11
GS5,$T_{\mathrm{nd}}$,14.929282721451298,0.0545889931975804,14.944071148731682,14.851236222137487,14.980869694320262,11
GS5,$c_0$,12.456257934301425,0.0929890512268905,12.481093392892072,12.332402543273163,12.548411665987807,11
GS5,$c_1$,0.567995171031308,0.0723162578742999,0.5688975786000494,0.4938629539181077,0.6369841223531361,11
GS5,$c_2$,0.3848553155045031,0.08935277918468933,0.383966971048725,0.2965793706567937,0.47286829933878893,11
GS5,$c_3$,0.6035716867204475,0.07732067505036311,0.6053370641668021,0.5260234741906221,0.67847665928255,11
GS5,$\log_{10} f_0$,-4.514228393967722,0.7337198364894412,-4.492914526354143,-5.322866695927834,-3.762095154807832,11
GS5,$\alpha$,2.4691311911812206,0.7016687744903006,2.3421145541622703,1.7747397467204709,3.3289811157097975,11
GSF5,$a_0$,6.303647770107741,0.002749074339477449,6.303461119529759,6.300919185954807,6.306347716243554,11
GSF5,$a_1$,0.4219246756628606,0.004754083462806799,0.42151715986527694,0.4186614145991511,0.42538379995304404,11
GSF5,$a_2$,0.2635041060374266,0.006052831423371398,0.2635134280414405,0.2582956037406247,0.2686008752677505,11
GSF5,$a_3$,0.048237088958823,0.011602078590814073,0.047445843999415066,0.041753372586527907,0.05345141239788542,11
GSF5,$T_{\mathrm{nd}}$,15.02201912472327,0.0076605267624624785,15.021699771975857,15.014378000900567,15.02982997218469,11
GSF5,$c_0$,12.609588601772344,0.026485146346829223,12.610614202295121,12.582278716652963,12.635843567371253,11
GSF5,$c_1$,0.5339232701332357,0.06785723129007122,0.5341549239253669,0.4645119415053187,0.6022279399259298,11
GSF5,$c_2$,0.37363632807040204,0.08733315134329019,0.3735942106802913,0.2817136707264787,0.45852852181491227,11
GSF5,$c_3$,0.5879970545639871,0.07735238262921694,0.5888145390117231,0.510788123166817,0.6629178221383154,11
GSF5,$\log_{10} f_0$,-4.832123875028406,0.3093918436622604,-4.805322247140104,-5.079508390309749,-4.6009666949174575,11
GSF5,$\alpha$,2.001459517712652,0.007158626878962657,2.0006870608446854,1.9980234229131824,2.003147157721571,11
GS1_db,$a_0$,6.29760974121018,0.008242215230529603,6.29465467239847,6.290695993881191,6.309850570534986,22
GS1_db,$a_1$,0.42023544511686167,0.0062293807034526074,0.4200318026894283,0.41655772125209994,0.42509227650697656,22
GS1_db,$a_2$,0.2619578234775507,0.007415932130559348,0.26177477547381434,0.25621408414288244,0.2673139857089142,22
GS1_db,$a_3$,0.061091629128805815,0.013461130889419793,0.05979073814469307,0.0548169360886669,0.06601416502606954,22
GS1_db,$a^{\prime}_0$,6.840670825362038,0.006961777113794917,6.839810636418761,6.832917588483922,6.848630900722982,22
GS1_db,$a^{\prime}_1$,0.1391203813772192,0.005650724289925987,0.13904288003370746,0.13470109263640065,0.14367948659560809,22
GS1_db,$a^{\prime}_2$,0.7450894132434673,0.00894550554004066,0.7452540281306363,0.7391663523310983,0.7491435437087134,22
GS1_db,$a^{\prime}_3$,0.7778942195076838,0.008525638635279296,0.777094985856174,0.7726473798162093,0.7833804818875645,22
GS1_db,$T_{\mathrm{nd}}$,15.03506731587759,0.02017740664031347,15.042091869536344,15.005478105544844,15.052838415938874,22
GS1_db,$c_0$,12.669643775461982,0.042561461742427344,12.675327635413993,12.626394293198343,12.710505169603094,22
GS1_db,$c_1$,0.4930620560467748,0.01688061506799981,0.4948006530805853,0.47502847854244806,0.5076967835788193,22
GS1_db,$c_2$,0.513665718787801,0.02093963587706765,0.514940424723094,0.4930765697090798,0.5347114096541865,22
GS1_db,$c_3$,0.48955169918232927,0.024917978735365755,0.49081096958143694,0.4672505332646255,0.5109847103113709,22
GS1_db,$T^{\prime}_{\mathrm{nd}}$,15.009089287533959,0.015565931725202818,15.010233326083117,14.991608179788333,15.025598963271051,22
